5,абрикосовое варенье,г
6,абрикосовое пюре,г
7,абрикосовый джем,г
8,абрикосовый сок,стакан
9,абрикосы,г
10,абрикосы консервированные,г
11,авокадо,по вкусу
12,агава сироп,г
13,агар-агар,г
14,аграм,г
15,аджика,г
16,аджика зеленая,г
17,айва,по вкусу
18,айвовое пюре,г
19,айран,г
20,айсинг,г
21,акула стейки,г
22,алкоголь,стакан
23,алкоголь крепкий,ст. л.
24,алыча,г
25,альбухара,шт.
26,альмехи,г
27,амарантовая мука,г
28,ананасовый сироп,г
29,ананасовый сок,г
30,ананасы,г
31,ананасы вяленые,г
32,ананасы консервированные,по вкусу
33,анис,по вкусу
34,анис звездочки,г
35,анисовый ликер,мл
36,анис семена,г
37,анчоусы,г
38,апельсиновая вода,г
39,апельсиновая цедра,г
40,апельсиновая эссенция,ч. л.
41,апельсиновое варенье,г
42,апельсиновые цукаты,г
43,апельсиновый джем,г
44,апельсиновый джем с имбирем,г
45,апельсиновый ликер,г
46,апельсиновый сироп,стакан
47,апельсиновый сок,по вкусу
48,апельсиновый сок свежевыжатый,г
49,апельсиновый уксус,ст. л.
50,апельсиновый экстракт,ч. л.
51,апельсины,г
52,апельсины красные,шт.
53,апельсины крупные,шт.
54,арахис,г
55,арахис жареный,г
56,арахисовая паста,г
57,арахисовое масло,г
58,арахис соленый,г
59,арбузная мякоть,г
60,арбузы,г
61,аргановое масло,г
62,аришта,г
63,ароматизатор,г
64,"ароматизатор ""ананас""",по вкусу
65,"ароматизатор ""вишня""",капля
66,"ароматизатор ""малина""",капля
67,"ароматизатор ""ром""",г
68,артишоки,г
69,артишоки в масле,г
70,артишоки маринованные,г
71,аспирин,шт.
72,ассорти мясное,г
73,ассорти овощное,г
74,ассорти фруктовое,г
75,ассорти ягодное,г
76,аши,г
77,багет,г
78,багет вчерашний,г
79,багет мини,г
80,бадан,звездочка
81,бадьян,щепотка
82,базилик лимонный,г
83,базилик свежий,г
84,базилик сушеный,г
85,базилик тайский,горсть
86,базилик фиолетовый,г
87,баклажаны,по вкусу
88,баклажаны мини,г
89,баклажаны тайские,г
90,балык,г
91,бальзам,г
92,бальзамический крем,стакан
93,бальзамический соус,ст. л.
94,бальзамический уксус,стакан
95,бальзам рижский черный,ст. л.
96,бамия,г
97,банановое пюре,г
98,банановые чипсы,горсть
99,банановый зеленый сироп,мл
100,банановый ликер,мл
101,бананы,г
102,бананы мини,г
103,барабулька,г
104,бараний ливер,г
105,бараний окорок на косточке,кусок
106,бараний фарш,г
107,баранина,г
108,баранки,г
109,бараньи антрекоты,кг
110,бараньи голяшки,шт.
111,бараньи потроха,кг
112,бараньи ребрышки,шт.
113,баранья лопатка,кг
114,баранья нога,г
115,баранья печень,г
116,барбарис,г
117,барбарис вяленый,ст. л.
118,барбарис молотый,г
119,бастурма,г
120,батат,г
121,батон,г
122,батончики шоколадные,г
123,безе,г
124,бекон,по вкусу
125,бекон варено-копченый,г
126,бекон сырокопченый,г
127,белорыбица,г
128,бирнель,мл
129,бисквик смесь готовая,пакет
130,бисквит,г
131,бисквитная крошка,г
132,бисквитный корж,г
133,бисквитный рулет,г
134,бисквит шоколадный,г
135,бифштекс,шт.
136,блинная мука,г
137,блины готовые,г
138,блины овсяные,шт.
139,бобовые ростки,г
140,бобы,г
141,бобы мунг пророщенные,г
142,бобы тонка,шт.
143,ботарга,г
144,брезаола,г
145,бренди,г
146,брокколи замороженная,г
147,брокколи свежая,г
148,брусника замороженная,г
149,брусника свежая,г
150,брусника сушеная,г
151,брусничное варенье,г
152,брусничный соус,г
153,брынза,по вкусу
154,брынза сербская,г
155,брюква,г
156,буженина,г
157,бузина сироп,ст. л.
158,букет гарни,пучок
159,булгур,г
160,булка,кусок
161,булка белая,г
162,булка сдобная,г
163,булочки,г
164,булочки белые черствые,г
165,булочки бриошь,шт.
166,булочки вчерашние,шт.
167,булочки для гамбургеров,шт.
168,булочки зерновые,шт.
169,булочки ржаные,кусок
170,булочки с кунжутом,шт.
171,бульон,г
172,бульонные кубики,г
173,бурбон,г
174,Буррата,г
175,буряк,г
176,бусинки кондитерские,ч. л.
177,бусинки кондитерские серебряные,по вкусу
178,бычий хвост,г
179,ванилин,г
180,ваниль в стручках,г
181,ванильная настойка,ст. л.
182,ванильная эссенция,г
183,ванильный порошок,г
184,ванильный сироп,г
185,ванильный экстракт,по вкусу
186,варенье,г
187,васаби,г
188,вафельная крошка,г
189,вафельные коржи,г
190,вафельные трубочки,г
191,вафли,г
192,вафли шоколадные,г
193,вермишель,г
194,вермишель яичная,г
195,вермут,г
196,вермут белый,г
197,вермут сухой,г
198,ветчина,г
199,ветчина вареная,г
200,ветчина варено-копченая,кусок
201,ветчина копченая,г
202,ветчина пармская,г
203,ветчина сырокопченая,г
204,вешенки,г
205,винегрет,г
206,винный камень,щепотка
207,винный уксус,г
208,винный уксус белый,г
209,винный уксус красный,ч. л.
210,винный уксус на чесноке,ч. л.
211,винный уксус на эстрагоне,ст. л.
212,вино белое,по вкусу
213,вино белое полусладкое,г
214,вино белое полусухое,г
215,вино белое сладкое,г
216,вино белое столовое,стакан
217,вино белое сухое,г
218,виноград,г
219,виноград без косточек,г
220,виноград белый,г
221,виноград изабелла,кг
222,виноградное желе,ст. л.
223,виноградные листья,г
224,виноградные листья маринованные,г
225,виноградные листья молодые,шт.
226,виноградный сок,г
227,виноградный сок осветленный,ч. л.
228,виноград синий,г
229,виноград черный,г
230,вино десертное,г
231,вино игристое сухое,г
232,вино красное,г
233,вино красное полусладкое,г
234,вино красное полусухое,г
235,вино красное сладкое,г
236,вино красное сухое,г
237,вино крепленое,г
238,вино розовое полусладкое,ст. л.
239,вино розовое полусухое,г
240,виски,г
241,витамин C в порошке,г
242,вишневая настойка,мл
243,вишневое варенье,г
244,вишневые листья,г
245,вишневый джем,г
246,вишневый ликер,по вкусу
247,вишневый сироп,стакан
248,вишневый сок,г
249,вишня,г
250,вишня вяленая,г
251,вишня замороженная,г
252,вишня засахаренная кондитерская,шт.
253,вишня коктейльная,г
254,вишня мараскино,шт.
255,"вишня, протертая с сахаром",г
256,вода,г
257,вода минеральная без газа,стакан
258,вода минеральная газированная,г
259,водка,г
260,водка анисовая,ч. л.
261,водоросли,г
262,вустерширский соус,г
263,галангал корень,долька
264,галеты,г
265,гамбургер,г
266,ганаш,г
267,гарам масала,г
268,гарнир,г
269,гаспачо,г
270,гастропаб,
271,гвоздика,г
272,гвоздика молотая,по вкусу
273,герань листья,г
274,геркулес,г
275,глазурь,г
276,глазурь белая,г
277,глазурь готовая,по вкусу
278,глазурь черная,по вкусу
279,глазурь шоколадная белая,г
280,глутамат натрия,г
281,глюкоза,г
282,глюкоза сироп,г
283,говядина,г
284,говядина на кости,г
285,говяжий фарш,по вкусу
286,говяжий язык,г
287,говяжье сердце,по вкусу
288,говяжьи бифштексы,г
289,говяжьи голяшки,г
290,говяжьи легкие,г
291,говяжьи ребра,г
292,говяжьи стейки рибай,г
293,говяжья вырезка,шт.
294,говяжья грудинка,кг
295,говяжья лопатка,г
296,говяжья мозговая кость,шт.
297,говяжья мякоть,кг
298,говяжья печень,шт.
299,говяжья черева,г
300,говяжья шейка,кг
301,годжи,г
302,голец филе,шт.
303,голубика,г
304,голубика замороженная,г
305,голубь,г
306,горбуша,по вкусу
307,горбуша в собственном соку,банка
308,горбуша филе,г
309,горгонзола,г
310,горгонзола пиканте,г
311,горох,г
312,горох колотый,г
313,гороховые ростки,горсть
314,гороховый суп,г
315,горошек зеленый,г
316,горошек зеленый замороженный,г
317,горошек зеленый консервированный,г
318,горошек стручковый свежий,г
319,горчица,г
320,горчица дижонская,г
321,горчица дижонская с медом,г
322,горчица желтая семена,г
323,горчица острая,г
324,горчица русская,ст. л.
325,горчица семена,г
326,горчица с зернами,г
327,горчица сухая,г
328,горчица французская,г
329,горчица цитрусовая,г
330,горчичное масло,г
331,горчичный порошок,г
332,грана падано,ст. л.
333,гранатные зерна,г
334,гранатовая паста,ст. л.
335,гранатовый сироп,г
336,гранатовый сок,г
337,гранатовый сок свежевыжатый,мл
338,гранатовый соус,ч. л.
339,гранаты,г
340,гранита,г
341,гранола с орехами,г
342,граппа,ч. л.
343,гратен,кг
344,грейпфрутовая цедра,г
345,грейпфрутовый сок,г
346,грейпфруты,г
347,грейпфруты розовые,г
348,гренадин,г
349,гренки,г
350,грецкие орехи,г
351,грецкие орехи рубленые,г
352,гречневая крупа,г
353,гречневая крупа зеленая,ст. л.
354,гречневая лапша соба,г
355,гречневая мука,г
356,гречневое молоко,стакан
357,гречневые хлопья,г
358,грибы,г
359,грибы белые,г
360,грибы белые замороженные,г
361,грибы белые маринованные,г
362,грибы белые сухие,г
363,грибы замороженные,г
364,грибы замороженные (опята и маслята),г
365,грибы лесные,г
366,грибы маринованные,г
367,грибы свежие,г
368,грибы соленые,г
369,грибы соломенные консервированные,шт.
370,грибы сухие,г
371,грибы шиитаке,г
372,грибы шиитаке сухие,г
373,гриль,г
374,гриссини,г
375,грудинка,г
376,грудинка варено-копченая,г
377,грудинка копченая,по вкусу
378,грушевое пюре,г
379,грушевый ликер,мл
380,грушевый сироп,мл
381,грушевый сок,г
382,грушевый уксус,ст. л.
383,груши,по вкусу
384,груши вяленые,г
385,грюйер,г
386,гуава,шт.
387,гуанчиале,г
388,гурьевская каша,г
389,гусиная грудка копченая,г
390,гусиная печень,г
391,гусиный жир,ст. л.
392,гусь,г
393,гусь тушка,кг
394,дайкон,г
395,детское питание,г
396,джем,г
397,джин,г
398,джусай,г
399,диоксид титана,г
400,долма,г
401,дорада,шт.
402,дорада потрошеная с головой,шт.
403,дорада с головой,шт.
404,дорада тушка,шт.
405,драже,г
406,дрожжи домашние,г
407,дрожжи свежие,г
408,дрожжи сухие,по вкусу
409,дубовая кора,г
410,душица,г
411,дыня,г
412,ежевика,г
413,ежевика замороженная,г
414,ерш,г
415,ёрш-носарь,шт.
416,желатин,г
417,желатин листовой,по вкусу
418,желе,г
419,желе для торта,упаковка
420,желирующее вещество,упаковка
421,желирующий сахар,г
422,женьшень,г
423,жидкий дым,г
424,жимолость,г
425,жир,г
426,жир вытопленный,стакан
427,жир кулинарный,г
428,жир растительный,г
429,заатар,щепотка
430,завтрак сухой,г
431,завтрак сухой подушечки,г
432,загуститель для сливок,г
433,зайчатина,г
434,закваска,пакет
435,закваска вечная,г
436,заменитель сахара,по вкусу
437,заменитель сахара стевия,г
438,заправка для салатов готовая,г
439,зверобой,по вкусу
440,зелень,г
441,зелень рубленая,г
442,земляника,по вкусу
443,земляника замороженная,г
444,зефир,г
445,зира,г
446,злаковые хлопья,г
447,зубатка,г
448,зубатка филе,г
449,изолят соевого протеина,г
450,изюм,г
451,изюм без косточек,г
452,изюм белый,г
453,изюм черный,г
454,икра,г
455,икра вяленой рыбы,г
456,икра горбуши зернистая,г
457,икра красная,г
458,икра красной рыбы мелкая,г
459,икра летучей рыбы,г
460,икра лосося,г
461,икра мойвы,г
462,икра палтуса,г
463,икра судака,г
464,икра черная,г
465,имбирное варенье,г
466,имбирное печенье,по вкусу
467,имбирные цукаты,ст. л.
468,имбирь,г
469,имбирь засахаренный,г
470,имбирь корень,г
471,имбирь маринованный,г
472,имбирь молотый,г
473,индейка,г
474,индейка голень,г
475,индейка грудка,г
476,индейка копченая,г
477,индейка тушка,шт.
478,индейка фарш,г
479,индейка филе,г
480,индоутка,шт.
481,индюшачья печень,г
482,инжир,г
483,инжир свежий,г
484,инжир сушеный,г
485,ирга,г
486,ириски,г
487,итальянские травы,г
488,йогурт,г
489,йогурт греческий,г
490,йогурт жирный,г
491,йогурт козий,г
492,йогурт натуральный,г
493,йогурт нежирный,г
494,йогурт обезжиренный,г
495,йогурт фруктовый,г
496,кабачки,г
497,кабачки замороженные,г
498,кабачки молодые,г
499,каджунская смесь специй,ст. л.
500,какао,горсть
501,какао-бобы,г
502,какао-масло,г
503,какао-порошок,по вкусу
504,какао-порошок обезжиренный,г
505,какао сгущенное,банка
506,калина,по вкусу
507,калина протертая,г
508,калинджи семена,ч. л.
509,кальвадос,г
510,кальмары,г
511,кальмары вареные,г
512,кальмары замороженные,г
513,кальмары консервированные,г
514,кальмары филе,шт.
515,камамбер,упаковка
516,камбала,г
517,камбала филе,г
518,кампари,мл
519,кандурин золотой,ч. л.
520,каннеллони,г
521,капеллини,г
522,каперсы,г
523,каперсы в винном уксусе,г
524,каперсы маринованные,г
525,капуста белокочанная,г
526,капуста брюссельская,г
527,капуста брюссельская замороженная,г
528,капуста кале,г
529,капуста квашеная,по вкусу
530,капуста кольраби,г
531,капуста краснокочанная,г
532,капуста морская,по вкусу
533,капуста морская замороженная,г
534,капуста морская сушеная,г
535,капуста пекинская,г
536,капуста савойская,г
537,капуста цветная,г
538,капуста цветная замороженная,г
539,капустный рассол,г
540,капучино,г
541,каракатица,г
542,каракатица очищенная,г
543,карамбола,г
544,карамель,мл
545,карамельный соус,г
546,карамель с начинкой,г
547,карамель соленая,г
548,карась,г
549,карбонад,г
550,кардамон,г
551,кардамон зерна,ч. л.
552,кардамон молотый,г
553,кардамон стручки,шт.
554,каркаде,г
555,карп,г
556,карп зеркальный,кг
557,карп филе,кг
558,карри,г
559,карри листья,г
560,карри паста,пакет
561,картофель,г
562,картофель вареный,г
563,картофель вареный в мундире,г
564,картофель молодой,г
565,картофельное пюре,по вкусу
566,картофельные ньокки,г
567,картофельные хлопья,г
568,картофельные чипсы,г
569,картофельный крахмал,г
570,картофельный отвар,г
571,картофельный хэш замороженный,г
572,картофель печеный,г
573,катык,г
574,каффир-лайм листья,по вкусу
575,каша,г
576,каша для детского питания,г
577,каштановая мука,г
578,каштановый крем,г
579,каштаны,г
580,каштаны вареные,г
581,каштаны консервированные,г
582,каштаны очищенные,г
583,квас,г
584,квасное сусло,г
585,квасной концентрат сухой,упаковка
586,квас хлебный,г
587,кедровая мука,г
588,кедровые орехи,г
589,кедровые орехи жареные,г
590,кета,г
591,кетчуп острый,по вкусу
592,кетчуп томатный,г
593,кетчуп тосканский,ст. л.
594,кетчуп шашлычный,г
595,кефаль,г
596,кефир,по вкусу
597,кефир 1%,г
598,"кефир 2,5%",г
599,"кефир 3,2%",г
600,кефир обезжиренный,г
601,кешью,г
602,кивано,г
603,киви,кг
604,киви желе,г
605,кижуч,г
606,кижуч горячего копчения филе,г
607,кизил,г
608,килька,г
609,кимчи,г
610,кинза свежая,зубчик
611,кинза сушеная,г
612,киноа,г
613,киноа молотая,г
614,кипяток,г
615,кирш,ст. л.
616,кисель,г
617,кисель сухой,г
618,кисломолочный напиток Тан,мл
619,кишки,г
620,клейковина,г
621,клементины,г
622,кленовый сироп,г
623,клубника,г
624,клубника в сиропе,г
625,клубника замороженная,г
626,"клубника, протертая с сахаром",г
627,клубника сушеная,г
628,клубничное варенье,г
629,клубничное желе,упаковка
630,клубничное пюре,г
631,клубничный джем,г
632,клубничный джем густой,мл
633,клубничный компот,стакан
634,клубничный ликер,г
635,клубничный сироп,г
636,клюква,г
637,клюква вяленая,г
638,клюква замороженная,г
639,"клюква, протертая с сахаром",г
640,клюквенное варенье,г
641,клюквенный джем,г
642,клюквенный морс,ст. л.
643,клюквенный сироп,г
644,клюквенный соус,г
645,козлиная печень,г
646,козлятина молодая,кг
647,кока-кола,ст. л.
648,кокосовая вода,стакан
649,кокосовая мука,ст. л.
650,кокосовая стружка,г
651,кокосовая стружка цветная,г
652,кокосовое масло,мл
653,кокосовое молоко,г
654,кокосовые сливки,г
655,кокосовый ликер,ст. л.
656,кокосовый экстракт,г
657,кокосы,г
658,кола,г
659,колбаса,г
660,колбаса вареная,г
661,колбаса варено-копченая,г
662,колбаса копченая,г
663,колбаса кровяная,г
664,колбаса полукопченая,г
665,колбаса сырокопченая,г
666,колбаска свиная свежая (salsiccia),шт.
667,колбаски,г
668,колбаски для жарки,г
669,колбаски домашние,шт.
670,колбаски охотничьи,г
671,колбаски сырокопченые,шт.
672,компот,г
673,конопляное масло,ст. л.
674,конопля семена,г
675,конфеты,по вкусу
676,конфеты M&M’s,г
677,конфеты жевательные лакричные,г
678,конфеты Коровка,г
679,конфеты Трюфель,г
680,конфитюр,по вкусу
681,конфитюрка,упаковка
682,коньяк,г
683,копчености,г
684,коренья,по вкусу
685,кориандр,г
686,кориандр зелень,г
687,кориандр молотый,г
688,кориандр семена,г
689,коринка,ст. л.
690,корица,г
691,корица молотая,г
692,корнишоны,г
693,корнишоны маринованые,г
694,корюшка,г
695,корюшка горячего копчения,г
696,кости,г
697,кости мозговые,г
698,кость сахарная,г
699,кофе в зернах,стакан
700,кофе зеленый,г
701,кофейные зерна в шоколаде,г
702,кофейный ликер,г
703,кофейный ликер Kahlua,мл
704,кофейный напиток,мл
705,кофейный сироп,г
706,кофейный экстракт,мл
707,кофе молотый,ст. л.
708,кофе растворимый,г
709,кофе свежесваренный,г
710,кофе черный,г
711,кофе эспрессо,стакан
712,крабовое мясо,г
713,крабовые палочки,по вкусу
714,краб снежный,по вкусу
715,крабы,г
716,крапива,г
717,краситель-гель пищевой,шт.
718,краситель пищевой,г
719,краситель пищевой вишневый,щепотка
720,краситель пищевой желтый,г
721,краситель пищевой зеленый,ст. л.
722,краситель пищевой красный,г
723,краситель пищевой оранжевый,г
724,краситель пищевой фиолетовый,г
725,краситель пищевой черный,г
726,красная смородина,г
727,"красная смородина, протертая с сахаром",ст. л.
728,красноперка,шт.
729,красносмородиновое варенье,г
730,красный винный соус,г
731,крахмал,г
732,креветки,г
733,креветки замороженные,г
734,креветки королевские,г
735,креветки очищенные,г
736,креветки очищенные в рассоле,г
737,креветки салатные,г
738,креветки сушеные,г
739,креветки тигровые,г
740,крекер,г
741,крекер соленый,г
742,крем заварной,г
743,крем заварной порошковый,г
744,крем-фреш,г
745,кресс-салат,г
746,кровь,мл
747,кролик,г
748,кролик тушка,г
749,кролик филе,г
750,кроличья печень,г
751,круассаны,по вкусу
752,крутоны мелкие,г
753,крыжовник,г
754,крыжовниковое варенье,банка
755,кукуруза,г
756,кукуруза замороженная,г
757,кукуруза консервированная,г
758,кукуруза обжаренная кикос,г
